scraped_at,state_id,type,name,warning_color,severity,issued_at,valid_upto,balloon_text,rain_description,thunderstorm_desc,lightning_probability
2026-05-16 07:45 UTC,10,station,Bhawanipatna,yellow,Watch,2026-05-16 1300,1600,,Light rain: < 5 mm/hr,Light Thunderstorms with maximum surface wind speed less than 40 kmph,Low cloud to ground Lightning probability ( < 30% probability of lightning occurrence)
2026-05-16 07:45 UTC,10,station,Bhubaneshwar AP,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Berhampur,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Chandbali,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Chilika Lake,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Cuttack,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Deogarh,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Dhenkanal,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Gopalpur,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Jagatsinghpur,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Jajpur,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Jharsuguda,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Kendrapara,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Keonjhargarh,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Khordha,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Konark,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Koraput,yellow,Watch,2026-05-16 1300,1600,,Light rain: < 5 mm/hr,Light Thunderstorms with maximum surface wind speed less than 40 kmph,Low cloud to ground Lightning probability ( < 30% probability of lightning occurrence)
2026-05-16 07:45 UTC,10,station,Malkangiri,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Nayagarh,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Nowrangpur,yellow,Watch,2026-05-16 1300,1600,,Light rain: < 5 mm/hr,Light Thunderstorms with maximum surface wind speed less than 40 kmph,Low cloud to ground Lightning probability ( < 30% probability of lightning occurrence)
2026-05-16 07:45 UTC,10,station,Nuapada,yellow,Watch,2026-05-16 1300,1600,,Light rain: < 5 mm/hr,Light Thunderstorms with maximum surface wind speed less than 40 kmph,Low cloud to ground Lightning probability ( < 30% probability of lightning occurrence)
2026-05-16 07:45 UTC,10,station,Paradip Port,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Paralakhemundi,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Phulbani,yellow,Watch,2026-05-16 1300,1600,,Light rain: < 5 mm/hr,Light Thunderstorms with maximum surface wind speed less than 40 kmph,Low cloud to ground Lightning probability ( < 30% probability of lightning occurrence)
2026-05-16 07:45 UTC,10,station,Puri,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Rayagada,yellow,Watch,2026-05-16 1300,1600,,Light rain: < 5 mm/hr,Light Thunderstorms with maximum surface wind speed less than 40 kmph,Low cloud to ground Lightning probability ( < 30% probability of lightning occurrence)
2026-05-16 07:45 UTC,10,station,Rourkela,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Sambalpur,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Sonepur,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Sundergarh,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Talcher,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Bhubaneshwar OUAT,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Bhanjanagar,green,No Warning,2026-05-16 1300,1600,,,,
2026-05-16 07:45 UTC,10,station,Gunupur,yellow,Watch,2026-05-16 1300,1600,,Light rain: < 5 mm/hr,Light Thunderstorms with maximum surface wind speed less than 40 kmph,Low cloud to ground Lightning probability ( < 30% probability of lightning occurrence)
2026-05-16 07:45 UTC,10,station,Daringibadi,yellow,Watch,2026-05-16 1300,1600,,Light rain: < 5 mm/hr,Light Thunderstorms with maximum surface wind speed less than 40 kmph,Low cloud to ground Lightning probability ( < 30% probability of lightning occurrence)
2026-05-16 07:45 UTC,10,station,Anandpur,green,No Warning,2026-05-16 1300,1600,,,,
